word_a,word_b,word_a_rank,word_b_rank,pos,exam_tag,exam_category,difficulty,sentence_en,image_prompt,sentence_bn,word_a_bn,word_b_bn
govern,grab,181,182,verb,GENERAL,GENERAL,3,The person tried to govern but ended up having to grab.,A flat vector illustration showing someone trying to govern and grab.,[Mock Bangla] The person tried to govern but ended up having to grab.,[Mock Bangla for govern],[Mock Bangla for grab]
graduate,grasp,183,184,verb,GENERAL,GENERAL,3,The person tried to graduate but ended up having to grasp.,A flat vector illustration showing someone trying to graduate and grasp.,[Mock Bangla] The person tried to graduate but ended up having to grasp.,[Mock Bangla for graduate],[Mock Bangla for grasp]
greet,grow,185,186,verb,GENERAL,GENERAL,3,The person tried to greet but ended up having to grow.,A flat vector illustration showing someone trying to greet and grow.,[Mock Bangla] The person tried to greet but ended up having to grow.,[Mock Bangla for greet],[Mock Bangla for grow]
guess,guide,187,188,verb,GENERAL,GENERAL,3,The person tried to guess but ended up having to guide.,A flat vector illustration showing someone trying to guess and guide.,[Mock Bangla] The person tried to guess but ended up having to guide.,[Mock Bangla for guess],[Mock Bangla for guide]
hand,handle,189,190,verb,GENERAL,GENERAL,3,The person tried to hand but ended up having to handle.,A flat vector illustration showing someone trying to hand and handle.,[Mock Bangla] The person tried to hand but ended up having to handle.,[Mock Bangla for hand],[Mock Bangla for handle]
hang,happen,191,192,verb,GENERAL,GENERAL,3,The person tried to hang but ended up having to happen.,A flat vector illustration showing someone trying to hang and happen.,[Mock Bangla] The person tried to hang but ended up having to happen.,[Mock Bangla for hang],[Mock Bangla for happen]
harm,hate,193,194,verb,GENERAL,GENERAL,3,The person tried to harm but ended up having to hate.,A flat vector illustration showing someone trying to harm and hate.,[Mock Bangla] The person tried to harm but ended up having to hate.,[Mock Bangla for harm],[Mock Bangla for hate]
head,heal,195,196,verb,GENERAL,GENERAL,3,The person tried to head but ended up having to heal.,A flat vector illustration showing someone trying to head and heal.,[Mock Bangla] The person tried to head but ended up having to heal.,[Mock Bangla for head],[Mock Bangla for heal]
hear,help,197,198,verb,GENERAL,GENERAL,3,The person tried to hear but ended up having to help.,A flat vector illustration showing someone trying to hear and help.,[Mock Bangla] The person tried to hear but ended up having to help.,[Mock Bangla for hear],[Mock Bangla for help]
hide,hit,199,200,verb,GENERAL,GENERAL,3,The person tried to hide but ended up having to hit.,A flat vector illustration showing someone trying to hide and hit.,[Mock Bangla] The person tried to hide but ended up having to hit.,[Mock Bangla for hide],[Mock Bangla for hit]
hold,hop,201,202,verb,GENERAL,GENERAL,3,The person tried to hold but ended up having to hop.,A flat vector illustration showing someone trying to hold and hop.,[Mock Bangla] The person tried to hold but ended up having to hop.,[Mock Bangla for hold],[Mock Bangla for hop]
hope,hug,203,204,verb,GENERAL,GENERAL,3,The person tried to hope but ended up having to hug.,A flat vector illustration showing someone trying to hope and hug.,[Mock Bangla] The person tried to hope but ended up having to hug.,[Mock Bangla for hope],[Mock Bangla for hug]
hum,hunt,205,206,verb,GENERAL,GENERAL,3,The person tried to hum but ended up having to hunt.,A flat vector illustration showing someone trying to hum and hunt.,[Mock Bangla] The person tried to hum but ended up having to hunt.,[Mock Bangla for hum],[Mock Bangla for hunt]
hurry,hurt,207,208,verb,GENERAL,GENERAL,3,The person tried to hurry but ended up having to hurt.,A flat vector illustration showing someone trying to hurry and hurt.,[Mock Bangla] The person tried to hurry but ended up having to hurt.,[Mock Bangla for hurry],[Mock Bangla for hurt]
identify,ignore,209,210,verb,GENERAL,GENERAL,3,The person tried to identify but ended up having to ignore.,A flat vector illustration showing someone trying to identify and ignore.,[Mock Bangla] The person tried to identify but ended up having to ignore.,[Mock Bangla for identify],[Mock Bangla for ignore]
imagine,imply,211,212,verb,GENERAL,GENERAL,3,The person tried to imagine but ended up having to imply.,A flat vector illustration showing someone trying to imagine and imply.,[Mock Bangla] The person tried to imagine but ended up having to imply.,[Mock Bangla for imagine],[Mock Bangla for imply]
impress,improve,213,214,verb,GENERAL,GENERAL,3,The person tried to impress but ended up having to improve.,A flat vector illustration showing someone trying to impress and improve.,[Mock Bangla] The person tried to impress but ended up having to improve.,[Mock Bangla for impress],[Mock Bangla for improve]
include,increase,215,216,verb,GENERAL,GENERAL,3,The person tried to include but ended up having to increase.,A flat vector illustration showing someone trying to include and increase.,[Mock Bangla] The person tried to include but ended up having to increase.,[Mock Bangla for include],[Mock Bangla for increase]
indicate,influence,217,218,verb,GENERAL,GENERAL,3,The person tried to indicate but ended up having to influence.,A flat vector illustration showing someone trying to indicate and influence.,[Mock Bangla] The person tried to indicate but ended up having to influence.,[Mock Bangla for indicate],[Mock Bangla for influence]
inform,inject,219,220,verb,GENERAL,GENERAL,3,The person tried to inform but ended up having to inject.,A flat vector illustration showing someone trying to inform and inject.,[Mock Bangla] The person tried to inform but ended up having to inject.,[Mock Bangla for inform],[Mock Bangla for inject]
injure,insist,221,222,verb,GENERAL,GENERAL,3,The person tried to injure but ended up having to insist.,A flat vector illustration showing someone trying to injure and insist.,[Mock Bangla] The person tried to injure but ended up having to insist.,[Mock Bangla for injure],[Mock Bangla for insist]
inspect,inspire,223,224,verb,GENERAL,GENERAL,3,The person tried to inspect but ended up having to inspire.,A flat vector illustration showing someone trying to inspect and inspire.,[Mock Bangla] The person tried to inspect but ended up having to inspire.,[Mock Bangla for inspect],[Mock Bangla for inspire]
