word_a,word_b,word_a_rank,word_b_rank,pos,exam_tag,exam_category,difficulty,sentence_en,image_prompt
govern,grab,181,182,verb,GENERAL,GENERAL,3,The person tried to govern but ended up having to grab.,A flat vector illustration showing someone trying to govern and grab.
graduate,grasp,183,184,verb,GENERAL,GENERAL,3,The person tried to graduate but ended up having to grasp.,A flat vector illustration showing someone trying to graduate and grasp.
greet,grow,185,186,verb,GENERAL,GENERAL,3,The person tried to greet but ended up having to grow.,A flat vector illustration showing someone trying to greet and grow.
guess,guide,187,188,verb,GENERAL,GENERAL,3,The person tried to guess but ended up having to guide.,A flat vector illustration showing someone trying to guess and guide.
hand,handle,189,190,verb,GENERAL,GENERAL,3,The person tried to hand but ended up having to handle.,A flat vector illustration showing someone trying to hand and handle.
hang,happen,191,192,verb,GENERAL,GENERAL,3,The person tried to hang but ended up having to happen.,A flat vector illustration showing someone trying to hang and happen.
harm,hate,193,194,verb,GENERAL,GENERAL,3,The person tried to harm but ended up having to hate.,A flat vector illustration showing someone trying to harm and hate.
head,heal,195,196,verb,GENERAL,GENERAL,3,The person tried to head but ended up having to heal.,A flat vector illustration showing someone trying to head and heal.
hear,help,197,198,verb,GENERAL,GENERAL,3,The person tried to hear but ended up having to help.,A flat vector illustration showing someone trying to hear and help.
hide,hit,199,200,verb,GENERAL,GENERAL,3,The person tried to hide but ended up having to hit.,A flat vector illustration showing someone trying to hide and hit.
hold,hop,201,202,verb,GENERAL,GENERAL,3,The person tried to hold but ended up having to hop.,A flat vector illustration showing someone trying to hold and hop.
hope,hug,203,204,verb,GENERAL,GENERAL,3,The person tried to hope but ended up having to hug.,A flat vector illustration showing someone trying to hope and hug.
hum,hunt,205,206,verb,GENERAL,GENERAL,3,The person tried to hum but ended up having to hunt.,A flat vector illustration showing someone trying to hum and hunt.
hurry,hurt,207,208,verb,GENERAL,GENERAL,3,The person tried to hurry but ended up having to hurt.,A flat vector illustration showing someone trying to hurry and hurt.
identify,ignore,209,210,verb,GENERAL,GENERAL,3,The person tried to identify but ended up having to ignore.,A flat vector illustration showing someone trying to identify and ignore.
imagine,imply,211,212,verb,GENERAL,GENERAL,3,The person tried to imagine but ended up having to imply.,A flat vector illustration showing someone trying to imagine and imply.
impress,improve,213,214,verb,GENERAL,GENERAL,3,The person tried to impress but ended up having to improve.,A flat vector illustration showing someone trying to impress and improve.
include,increase,215,216,verb,GENERAL,GENERAL,3,The person tried to include but ended up having to increase.,A flat vector illustration showing someone trying to include and increase.
indicate,influence,217,218,verb,GENERAL,GENERAL,3,The person tried to indicate but ended up having to influence.,A flat vector illustration showing someone trying to indicate and influence.
inform,inject,219,220,verb,GENERAL,GENERAL,3,The person tried to inform but ended up having to inject.,A flat vector illustration showing someone trying to inform and inject.
injure,insist,221,222,verb,GENERAL,GENERAL,3,The person tried to injure but ended up having to insist.,A flat vector illustration showing someone trying to injure and insist.
inspect,inspire,223,224,verb,GENERAL,GENERAL,3,The person tried to inspect but ended up having to inspire.,A flat vector illustration showing someone trying to inspect and inspire.
install,intend,225,226,verb,GENERAL,GENERAL,3,The person tried to install but ended up having to intend.,A flat vector illustration showing someone trying to install and intend.
introduce,invent,227,228,verb,GENERAL,GENERAL,3,The person tried to introduce but ended up having to invent.,A flat vector illustration showing someone trying to introduce and invent.
invite,irritate,229,230,verb,GENERAL,GENERAL,3,The person tried to invite but ended up having to irritate.,A flat vector illustration showing someone trying to invite and irritate.
itch,jail,231,232,verb,GENERAL,GENERAL,3,The person tried to itch but ended up having to jail.,A flat vector illustration showing someone trying to itch and jail.
